title,artist,year,medium,description,artist_bio,location,period,provenance,image_url,source_url
Sculptures at the Yemisi Shyllon Museum of Art,,2021/2021,,"The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University, Lagos, is the first purpose built, privately owned art museum in Nigeria. The 900 sqm museum hosts over 1000 artworks from Prince Yemisi Shyllon’s vast art collection. Thanks to him, the YSMA is privileged to have one of the most comprehensive and diverse art collections in the country and to make it accessible to all visitors. Our collection features artworks from established Nigerian artists including Ben Enwonwu, Uche Okeke, Aina Onabolu, El Anatsui, Erhabor Emokpae, Yusuf Grillo, Lamidi Fakeye, Bruce Onabrakpeya, Ben Osawe, Isiaka Osunde, Okpu Eze, Abayomi Barber, Gani Odutokun, Kolade Oshinowo, etc. Alongside them, are works by younger artists: Kainebi Osahenye, Ben Osaghae, Peju Layiwola, Tony Nsofor, Peju Alatise, Victor Ehikhamenor, Lanre Tejuoso, Eva Obodo, Ozioma Onuzulike, Uchay Chima, Ayobola Kekere-Ekun, Kelani Abass and many others.",,,,,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/sculptures-at-the-yemisi-shyllon-museum-of-art/bgE_0FSH7BSC2g
The Brown Eyes Series,Nyemike Onwuka,2012,Oil on Canvas,"The Brown Eyes Series"". This work must be part of a series of works which the artist has produced to explore the ""brown eyes"" as a theme.","Born 1972 in Lagos, Nyemike Onwuka studied general arts and majored in painting at Auchi Polytechnic, Edo State. He also studied animation and visual effects at Witwatersrand University, Johannesburg, South Africa where he did his post-graduate studies.In his paintings, the female figure features a lot as he uses it to explore and portray the disparity between the beautiful and the not so beautiful. In this piece, he portrays the beauty of a Fulani young woman. Her oval shaped eyes slant to the base of her ear while her mouth comes together to form a pout. Her head is wrapped in the scarfs typically worn by Northern women. The blotches of paint and drops gives the painting a dripping effect. The hues of brown are very evident throughout the work as the background and the lady herself have the paint dripping around them. It is highly evident that the lady's eyes are brown hence the title """,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QcGbnA5mbSVkzU3iBAQSJ0oG0mhkH3ycDBgnz7dIpFcV2ypUs55U4-33eueC1WqsKTycET46TB=x0-y0-z0-nt01qjADPtsguuqvCwC12lYDPn5DFA,https://artsandculture.google.com/asset/the-brown-eyes-series/QgEdgxZf2Ai1bw
Untitled,Jimoh Buraimoh,2013,Beads and Acrylic on Canvas,,"Jimoh Buraimoh is a celebrated Nigerian artist, considered a pioneer of bead painting. His work often features intricate patterns and vibrant colors, blending traditional African art forms with contemporary techniques. He has gained international recognition for his unique approach to using beads as a medium for his paintings. This untitled beadwork painting displays a series of patterns, shapely faces, and numerous colors. Buraimoh uses beads to create a textured, mosaic-like surface, highlighting his mastery of this unique art form.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/iAH6VnpjN5Zf8g
"To be Mindful, None Like You",Ajobiewe Samuel,2002,Pastel on Paper,"To be Mindful, None Like You shows an elderly woman sitting in a room with a girl, who is probably her daughter. The woman has a wrapper decorated with tin black lines and patterns in blue and yellow tied to her chest and a corresponding scarf tied to her head while her daughter is dressed in a white, sleeveless blouse and a bright yellow skirt. From their outlook one could guess they are having a conversation and the woman is probably expressing her concerns, advising and admonishing her daughter to be mindful of her behavior and character as a growing girl approaching adulthood. Conversations of this nature are very important in guiding the teenage girl child to navigate the numerous challenges experienced as she grows from puberty to adulthood. It is the duty of any truly loving, caring and concerned mother to ensure her daughter avoids mistakes and finds her true purpose in life as she grows older.",,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RVZoJP0jy4qVj2aJKRv4---tRlbNysDJsFfPqFPn6zunDeRWQ3YEYqTgCmX-O958kwICRBvf2z=x0-y0-z0-nt0xGcnZy68bsyWa3K_1FqL5eEzFSc,https://artsandculture.google.com/asset/to-be-mindful-none-like-you/6QFe2zb2_SXJTg
Northern Setting,Aina Onabolu,1944,Oil on Canvas,,"Aina Onabolu was a pioneer modernist in Nigerian art and is generally considered the father of modernism in Nigerian artdue to his service and advocacy for the formalization of art education across different levels in the nation. The northern part of Nigeria is known for its dry lands due to its proximity to the Sahara Desert. Northern setting brings to mind a lot of significant imageries; from the grazing animals to the clustered houses and from the passers-by to the rocks and the sky. The clustered houses bring to mind the unity among the northerners of Nigeria. The grazing animals tells of the good pastures of northern Nigeria despite the dry grounds in some parts. In line with Onabolu's painting style of the time, this painting shows two human figures probably returning from the farm after the day's work which shows the profound northern culture of hard work. His palette of earth brown colors successfully gives the painting a desert and northern look.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/northern-setting/HQHsKmhiYkOTqA
Goje Player,Jimoh Buraimoh,2013,Bead on Board,"Goje Player is a classic bead painting showing a traditional musician playing the goje, a stringed instrument prominent in the Northern parts of Nigeria. In his unique style of rendition, Jimoh uses very colourful beads of different shades for this figurative expression of great aesthetic quality.","Born in 1943, Chief Jimoh Buraimoh attended the workshops conducted by Ulli Beier and Georgina Beier in Oshogbo in the early 1960s. He is one of the most recognized artists to have emerged from the Oshogbo Art workshops. He is best known for his remarkable bead works which appear painterly as he carefully blends in the hues of the beads in making pictorial representations.",Nigeria,Bead Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/goje-player/5wFQdoE7ei3SpQ
Ola (I/4),Abayomi Barber,1961,Bronze,,"Abayomi Barber was a famous hyper-realistic sculptor and painter. After dropping out from the Yaba College of Technology in the mid 50’s, a consistent demonstration of his creativity and talent endeared him to many including his uncle, Oba Adesoji Aderemi, the then Ooni of Ife and won him a special scholarship for art studies in the UK where he lived from 1961 to 1971. Some of his notable sculptures include: the sculpture of Obafemi Awolowo, the then Governor the Western Region, done in the 60’s during his stint at the Mancini and Tozar studios in London; the sculpture of Yemoja, the mythical Yoruba goddess done for the National Gallery of Art in 1979 after his return to Nigeria; the gigantic and imposing hyper-realistic sculpture of the Ooni of Ife, Oba Aderemi Adesoji done for the National Gallery of Art in 1979, which showcased the Oba’s authority and power. In his sculptures, one sees the crafty hands and mind of Barber, his ability to explore the contours of the human form and his ingenuity in telling stories about life and people. Ola (1/4) is the first of a series of 4 post-independence sculptures of the Nigerian woman, dressed in a native attire. Her head is covered with a traditional scarf. She is probably of Yoruba decent, seemingly staring at something on her left corner. Her outlook is symbolic for its expression of elegance, grace and pride in a middle-aged, independent black woman.",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QTbGFIg1eA_yRgkoON-c5zi9eASMqOq2-SbLARTwSLlecc2SWV3oD4SWqW5XdDcWfucMuTQQ=x0-y0-z0-nt0U_JgDNGPQ5I5A9EcBdg6hJ5cxik,https://artsandculture.google.com/asset/ola-i-4/VwFcsR2sYdjqJg
Untitled 1,Emmanuel Ekefrey,1993,Acrylic on Canvas,"Untitled 1 presents a chaotic and dynamic composition, filled with mythical creatures and human figures. The colors—blue, yellow, and red—create a lively, energetic scene, reflecting Ekefrey’s exploration of a mythical world.","Emmanuel Ekefrey (b.1952) is a self-taught artist from Nigeria’s Ibibio region, known for his use of forms and figures to explore cultural myths.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled-1/EgF23UMOUBFDFg
Celebration,Ben Enwonwu,1970,Oil on Canvas,Celebration is a expression of an African cultural dancer performing with her arms spread in joy and happiness as she moves her feet to the rhythm of the music being played for her. Enwonwu displays his aesthetic maturity with his blend of different colours. The work also captures the concept of Negritude that is deeply rooted in his ideology as an artist.,"Recognising the importance of heritage and culture, indigenous ritualistic dances of the Igbo people in the south-eastern region of Nigeria was a great source of influence for Ben Enwonwu.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_TnkFPqKyPFWiTL9sD3oyADKXWQKMpTh4v2e7GH8DzOLGHVinc7HfozHkF6LG6CnFzc-bNN_Yo=x0-y0-z0-nt0ZOagm_8kImFzR_iHeE9tufp51KQ,https://artsandculture.google.com/asset/celebration/mwGiRGC82jK3mA
"Ben Enwonwu Posing beside Anyanwu at the National Museum, Lagos",Ben Enwonwu,,,,"Ben Enwonwu’s teacher. It was conceptualized as a female form by Enwonwu to represent a mother who births and nurtures her child, in this case Nigeria whose independence was in sight at the time. Enwonwu said “My aim was to symbolise our rising nation. I have tried to combine material, crafts, and tradition, to express a conception that is based on womanhood—woman, the mother and nourisher of man. In our rising nation, I see the forces embodied in womanhood; the beginning, and then, the development and flowering into the fullest stature of a nation—a people!” – Ben Enwonwu. The sculpture still sits at the lawn of the museum till date.","Lagos, Nigeria",,,https://lh3.googleusercontent.com/ci/AL18g_TshkyhZzNYLilaRQB9PpdA4GTm7oSTDGpZV4l0eDxJpwFY04iZygqbuUP-cU3V-gRrjYEdfNI=x0-y0-z0-nt0UYoHPUvQwvr5GM50Qmz6VfiC6B8,https://artsandculture.google.com/asset/ben-enwonwu-posing-beside-anyanwu-at-the-national-museum-lagos/TwGMk0APUVzGBg
Grim Polity (Ballot Boxes and Beasts of Power),Tony Nsofor,2019,Oil on Canvas,"Grim Polity (Ballot Boxes and Beasts of Power), Tony uses rough and scratchy brush strokes of different colours – blue, white and black – to reflect on the distorted manner of the nation’s leadership and governance. Issues on godfatherism, corruption, nepotism, mafia and tribalism are addressed as political cankerworms stunting the nation’s all round growth and progress. The piece is a permanent collection of the Yemisi Shyllon Museum of Art (YSMA) and is a donation by the artist.","Born 1973 Anthony Nsofor is a contemporary Nigerian painter. His early inspiration to become an artist came when he was a child, he admired the paintings of his uncle displayed on walls in their house in Owerri by his father. He was also fascinated by the illustrations and beautiful photographs he found in his mother’s textbooks in their home and loved copying and reproducing them exactly the way they were. He got so much applause for his creative abilities and his ingenuity from his early admirers. This spurred him to study and obtain a degree in Fine and Applied Arts from the University of Nigeria, Nsukka, majoring in painting in 1997. As a student in Nsukka, Tony was privileged to work as a studio assistant to Prof. Obiora Udechukwu, an experience he has praised for its tremendous impact in his career as an artist. Despite identifying with the Uli art philosophy of the Nsukka School of Art, he prefers to use “scribbles and scratches” for expression on his canvases rather than drawing or painting these symbols the way they are like his contemporaries. His paintings are inspired by his experiences in life, they tell great stories that are revealed and appreciated looking at them from a distance and, so far, they have been well exhibited at home and abroad. In",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_S6Pv73G4zLv2Z3uP7leua2ctolk-JCtLYc9X5YhOHyW2DNDLKl5rOoiuU67M9wGpH0A1tC7A=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/grim-polity-ballot-boxes-and-beasts-of-power/hAEHgtqyG7NLvg
